"","nosta","codehydro","nom","courdo","xlambert","ylambert","pk","bv","type","nogest","module","qrefetiage","qix2","qix5","qix10","mnemo","comment","datemaj","typemes","cotedebordement","coteseuil","nomcommune","inseecommune","ngfechelle","dateenregistrement","datecreation","codehydro3","codesitehydro3","synchronisation","region"
"458",428,"K4670010","CELLETTES-CLÉNORD","Beuvron",581.173,6715.871,NA,1102,"S",430450,5.89,0.318,NA,NA,NA,"K4670010","07/01/2020 - 1ère mesure de débit avec repère au tablier du pont
04/03/2020 - Vu avec un riverain la cote maxi observée lors de crue en Juin 2016. La cote maxi observée et notée sur un papier était de 2.90m le 03/06/2016. Des cotes sur les jours précédents et suivants ont été notées sur la carnet de jaugeage du 04/03/2020
09/07/2020 - Nivellement du repère palplanche dans la passe centrale- il est à la cote -0.49m du ""0"" de l'échelle
Le 12/10/2021  Instalation de la station (échelle, lns et IQ+)

Mise à jour débits caractéristiques le 23/04/2025.
","",0,80,NA,"CELLETTES",41031,NA,"04/23/25 09:21:00","01/10/20 09:03:00","K467000101","K4670001",1,"Loire"
"460",430,"K7226510","SAINT GENOU (L'AUNEAU)","Cité",527.273,2215.534,NA,99.080002,"S",430450,NA,NA,NA,NA,NA,"K7226510","station crée dans la phyc le 20/01/2020 et dans Hydro II le 20/02/2020","",0,NA,NA,"SAINT GENOU",36194,NA,"02/20/20 16:06:00","01/20/20 16:34:00","K722261201","K7222612",1,"Loire"
"461",431,"K5440020","FAVERDINES","La Loubiéres",NA,NA,NA,NA,"S",430450,NA,NA,NA,NA,NA,"FAVERDINES","17/04/2025 La mise à jour Débits caractéristiques n'a pu être effectuée. Pas de statistiques sur hydroportail.","",10,NA,NA,"",NA,NA,"04/17/25 10:00:00","02/12/20 16:47:00","K544000201","K5440002",1,"Loire"
"462",432,"K6520020","DUN-LE-POËLIER","Fouzon",555.971,2245.135,NA,257,"S",430450,NA,NA,NA,NA,NA,"K6520020","1ère mesure de débit le 19/02/2020
En attente d'être appareillé","",0,NA,NA,"DUN-LE-POËLIER",36068,NA,"02/20/20 16:17:00","02/20/20 16:17:00","K652000201","K6520002",1,"Loire"
"463",433,"K6580010","POULAINES [BARZELLE]","Nahon",544.257,2242.245,NA,285,"S",430450,NA,NA,NA,NA,NA,"K6580010","1ère mesure de débit le 19/02/2020
Mise en service le 14/04/2021 12:00","",0,170,NA,"POULAINES",36162,NA,"04/15/21 11:32:00","02/20/20 16:20:00","K658000101","K6580001",1,"Loire"
"464",434,"K4180040","GIEN - NOUVEAU PONT","Loire",NA,NA,NA,35500,"S",430450,323,58,1510,2050,2410,"K4180040","Mise à jour débits caractéristiques le 23/04/2025.
","03/04/21 12:00:00",0,NA,NA,"",NA,NA,"04/23/25 07:57:00","12/15/20 13:55:00","K418001022","K4180010",1,"Loire"
"465",435,"K5480920","SAINT-FLORENT-SUR-CHER","Cher",NA,NA,NA,NA,"S",430450,NA,NA,NA,NA,NA,"K5480920","","",NA,NA,NA,"",NA,NA,"02/05/21 10:17:00","02/05/21 10:16:00","K548092010","K5480920",1,"Loire"
"466",436,"K2316210","AUBAZAT","CRONCE",686632,2016.32,NA,130,"S",118631,1.21,0.087,11.4,17.5,21.6,"K2316210","MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","07/05/04 00:00:00",0,NA,NA,"",NA,48300,"04/08/25 10:36:00","","K231621001","K2316210",1,"Loire"
"467",437,"K2714010","BEAUREGARD ANCIENNE [HS]","JAURON",673120,2091050,NA,124,"S",118631,0.741,0.061,16,26,33,"K2714010","K271401001 K271 4010 01 - Le Jauron à Beauregard-l'Évêque [Saint-Aventin] - Ancienne 1967-2024
Mise hors service le 11/07/2024 à 08:00, remplacée par la station K271 4010 02 - Le Jauron à Beauregard-l'Évêque [Saint-Aventin] - Amont pont -","07/05/04 00:00:00",0,NA,NA,"BEAUREGARD L EVEQUE",34,30500,"02/28/25 10:15:00","","K271401001","K2714010",1,"Loire"
"468",438,"K2534010","BOUSSELORGUES","ARCUEIL",666550,2027.21,NA,108,"S",118631,0.966,0.025,10,15.8,19.6,"K2534010","MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","06/08/05 00:00:00",0,NA,NA,"",NA,54500,"04/08/25 10:42:00","","K253401001","K2534010",1,"Loire"
"469",439,"K2283110","CHANTEUGES","DESGES",694242,2008684,NA,139,"S",118631,1.66,0.255,12.1,19.5,24.5,"K2283110","Code station Hydro3 (PhyC)
K2283110 01 Station fermée : La Cambuse - Amont Pont SNCF 01/06/1966 -> 14/04/1992
K2283110 02 Station active : Bourg de Chanteuges 14/04/1992 -> 

Changement échelle limni le 11/10/2016 9:30 (zéro échelle +10cm/ à l’ancienne échelle) 
MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","03/21/17 10:03:00",0,NA,NA,"",NA,NA,"04/08/25 10:49:00","","K228311002","K2283110",1,"Loire"
"470",440,"K2365510","COUTEUGES [HS]","LIDENNE",691740,2023180,NA,46.200001,"S",118631,0.227,0.014,6.2,9.9,12,"K2365510","Fermeture station le 08/07/2018 suite à travaux pont scnf. ","07/05/04 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 11:49:00","","K236551001","K2365510",NA,"Loire"
"471",441,"K2644010","MANGLIEU","AILLOUX",678500,2068.63,NA,73.199997,"S",118631,0.595,0.043,10.5,18.2,23.3,"K2644010","mis à jour le 08/03/2025","07/05/04 00:00:00",0,NA,NA,"",NA,43700,"04/08/25 10:48:00","","K264401001","K2644010",1,"Loire"
"472",442,"K2544010","MASSIAC [HS]","ALLAGNONETTE",667590,2028.36,NA,66.199997,"S",118631,0.568,0.009,7.2,12,14,"K2544010","Fermeture au 01/01/2020 suite à l'Audit SCHAPI. ","08/29/05 00:00:00",0,NA,NA,"",NA,54900,"02/28/25 09:51:00","","K254401001","K2544010",1,"Loire"
"473",443,"K2266210","VISSAC - PONT CD590 [HS]","FIOULE",NA,NA,NA,NA,"S",118631,0.207,NA,NA,NA,NA,"K2266210","Mise hors service le 01/07/2010 00:00","02/17/25 17:33:00",0,NA,NA,"",NA,75000,"02/28/25 11:14:00","","K226621001","K2266210",1,"Loire"
"474",444,"K2383110","DOMEYRAT","DOULON",692230,2028600,NA,138,"S",118631,1.1,0.107,13.8,22.9,29,"K2383110","INSTALLE 07/2000

MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","07/05/04 00:00:00",0,NA,NA,"",NA,49100,"04/08/25 10:53:00","","K238311001","K2383110",1,"Loire"
"475",445,"K2623010","MADRIAT","COUZE D ARDES",666.721,2048.214,987.4,117,"S",118631,1.38,0.142,17,29.1,37.1,"K2623010","144466  Hydrosens   26-07-2000
Opale  le 11-02-04
Mise en place nlle echelle 05-01-2004
mis à jour le 08/03/2025","07/05/04 00:00:00",0,NA,NA,"",NA,46600,"04/08/25 10:36:00","","K262301001","K2623010",1,"Loire"
"476",446,"K2514010","JOURSAC - PONT DU VERNET ","ALLANCHE",650980,2015520,NA,99,"S",118631,2.82,0.508,22.7,33.8,41.2,"K2514010","MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","08/29/05 00:00:00",0,NA,NA,"",NA,74600,"04/08/25 11:01:00","","K251401001","K2514010",1,"Loire"
"477",447,"K2514020","ALLANCHE","ALLANCHE",646900,2025600,NA,63.700001,"S",118631,1.35,0.2,13.8,20.3,24.6,"K2514020","03/02/2016 Integration à toutes les CT de l'extrapolation au-delà de 150 cm d'après l'étude du Cerema - Labo de Blois (2014) par modélisation hydraulique (Hec Ras) - JNA/JPF

MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025
","07/05/04 00:00:00",0,NA,NA,"",NA,96000,"04/08/25 10:30:00","","K251402001","K2514020",1,"Loire"
"478",448,"K2674040","CHAMBON AVAL LAC","COUZE CHAMBON",644650,2063390,NA,36,"S",118631,1.21,0.341,7.25,10.7,13,"K2674040","Code station HYDRO3 (PhyC)
K267404001 Station fermée = Passerelle 01/01/1992->22/09/2009
K267404002 Station active = Pont accès camping 22/09/2009->
mis à jour le 08/03/2025","09/06/16 12:25:00",0,NA,NA,"",NA,NA,"04/08/25 10:59:00","","K267404002","K2674040",1,"Loire"
"479",449,"P0304010","SEGUR LES VILLAS [LA CARRIERE]","SANTOIRE",638471,2021509,NA,58,"S",118631,2.22,0.13,30,46,57,"P0304010","","07/05/04 00:00:00",0,NA,NA,"",NA,102300,"07/16/18 10:25:00","","P030401001","P0304010",1,"Loire"
"480",451,"P1744010","AURILLAC - PASSERELLE RIOTTE","JORDANNE",NA,NA,NA,105,"S",118631,4.35,0.22,52,70,82,"P1744010","P1744010 01 Ladoux = fermée 01/10/1970 00:00 -> 28/11/1985 00:00
P1744010 02 Claire Vivre = fermée :  26/11/1992 00:00 -> 02/04/1999 00:00
P1744010 03 Passerelle Paul Riotte 19/09/2001 10:50 -> ","06/08/05 00:00:00",0,NA,NA,"",NA,62000,"02/28/25 11:00:00","","P174401003","P1744010",1,"Loire"
"481",452,"K2593010","LEMPDES [HS]","ALLAGNON",672570,2043260,NA,984,"S",118631,11.7,1.3,110,160,190,"K2593010","10/02/2025 13:40 Fermeture au profit de la station Lempdes passerelle + Béal ","03/14/16 14:55:00",0,NA,NA,"",NA,NA,"02/27/25 16:35:00","","K259301001","K2593010",1,"Loire"
"482",453,"K2654010","ST FLORET","COUZE PAVIN",660140,2061410,NA,216,"S",118631,4.48,0.847,34,47,55.5,"COUZE PAVI","mis à jour le 08/03/2025","",0,NA,NA,"",NA,NA,"04/08/25 10:52:00","","K265401001","K2654010",1,"Loire"
"483",454,"K2871910","ST GERVAIS SOUS MEYMONT [GIROUX-DORE]","DORE",697980,2077880,NA,800,"S",118631,10.9,1.2,81,110,130,"GIROUXDORE","","",0,NA,NA,"ST GERVAIS SOUS MEYMONT",NA,NA,"02/28/25 11:57:00","","K287191001","K2871910",1,"Loire"
"484",455,"K3222010","PONTGIBAUD","SIOULE",639380,2092790,NA,353,"S",118631,6.03,1.19,47.5,69.4,84,"K3222010","débits caractéristiques modifiés le 07/04/25","01/24/08 15:05:00",0,NA,NA,"",NA,NA,"04/07/25 13:36:00","","K322201001","K3222010",1,"Loire"
"485",456,"K3373010","CHAREIL-CINTRAT","BOUBLE",668660,2140650,NA,555,"S",118631,3.66,0.085,69.8,116,146,"K3373010","débits caractéristiques modifiés le 07/04/25","01/29/08 16:02:00",0,NA,NA,"",NA,NA,"04/07/25 13:44:00","","K337301001","K3373010",1,"Loire"
"486",457,"K3382010","ST POURCAIN","SIOULE",673.94,2145.91,NA,2460,"S",118631,21.7,3.05,152,242,301,"K3382010","Mise en service retenue de BESSERVE = novembre 1968
Code hydro3
K3382010 01 Sioule à St Pourçain (station active) 04/07/1985 ->
K3382010 02 Sioule à St Pourçain [La Moutte] fermée (ancienne station hydro2 K3382005) 07/07/1966 -> 05/07/1985
K3382010 03 sioule à St Pourçain [Auberge des Aubrelles] 04/03/2021
débits caractéristiques modifiés le 07/04/25
","01/24/08 15:30:00",0,NA,NA,"SAINT POURÇAIN",NA,23274,"04/07/25 13:47:00","","K338201001","K3382010",1,"Loire"
"487",458,"P0010010","ST SAUVES","DORDOGNE",627294,2067110,NA,87,"S",118631,3.56,0.96,35,50,60,"P0010010","","07/05/04 00:00:00",0,NA,NA,"",NA,78000,"02/28/25 10:50:00","","P001001001","P0010010",1,"Loire"
"488",459,"P0115010","LA TOUR  D AUVERGNE","BURANDE",628180,2058880,NA,20.4,"S",118631,0.936,0.22,14,20,23,"P0115010","","07/05/04 00:00:00",0,NA,NA,"",NA,90500,"02/28/25 11:58:00","","P011501001","P0115010",1,"Loire"
"489",460,"P0272510","CONDAT","RHUE",633380.8,2037683.9,NA,187,"S",118631,5.61,0.64,75,110,130,"P0272510","P027251001 station Echelle rive droite du   / /   au 31/10/2017 16:40
P027251002 station Echelle rive gauche à partir du 31/10/2017 16:40","07/05/04 00:00:00",0,NA,NA,"",NA,70600,"02/28/25 12:02:00","","P027251002","P0272510",1,"Loire"
"490",461,"P0885010","BASSIGNAC [VENDES]","MARS",604170,2032955,NA,117,"S",118631,3.7,0.22,52,74,88,"P0885010","","08/29/05 00:00:00",0,NA,NA,"",NA,36600,"07/16/18 10:57:00","","P088501001","P0885010",1,"Loire"
"491",462,"P1712910","COMBLAT LE CHATEAU","CERE",621950,1996100,NA,88,"S",118631,4.09,0.3,62,83,96,"P1712910","","06/08/05 00:00:00",0,NA,NA,"",NA,65000,"09/01/16 15:52:00","","P171291001","P1712910",1,"Loire"
"492",463,"P1422510","ST EULALIE","MARONNE",602880,2012730,NA,112,"S",118631,4.11,0.26,50,72,87,"P1422510","","06/08/05 00:00:00",0,NA,NA,"",NA,59500,"10/05/16 10:48:00","","P142251001","P1422510",1,"Loire"
"493",464,"P0212510","EGLISENEUVE D ENTRAIGUES","RHUE",638570,2045521,NA,40,"S",118631,1.62,0.22,19,26,31,"P0212510","","07/05/04 00:00:00",0,NA,NA,"",NA,94000,"02/28/25 11:59:00","","P021251001","P0212510",1,"Loire"
"494",465,"P0804010","CHEYRANGE [HS]","SUMENE",619240,2036000,NA,53,"S",118631,1.72,0.25,19,26,32,"P0804010","P080 4010 01 - La Sumène à Saint-Étienne-de-Chomeil [Cheyrange]
Mise hors service le 04/05/2001 00:00","05/18/00 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 10:54:00","","P080401001","P0804010",1,"Loire"
"495",466,"K2674030","CHAMBON AMONT LAC [HS]","COUZE CHAMBON",646330,2063590,NA,31.5,"S",118631,1.17,0.311,13.4,21,26,"K2674030","Mise hors service en 2025
mis à jour le 08/03/2025","08/08/05 00:00:00",0,NA,NA,"",NA,NA,"04/08/25 11:01:00","","K267403001","K2674030",1,"Loire"
"496",467,"K2724210","CLERMONT - CROUEL","ARTIERE",662750,2086720,NA,43,"S",118631,0.244,0.068,4.8,5.6,6.2,"K2724010","","08/25/99 00:00:00",0,NA,NA,"CLERMONT-FERRAND",NA,NA,"02/28/25 12:00:00","","K272421001","K2724210",1,"Loire"
"497",468,"K2724220","AULNAT [HS]","ARTIERE",665100,2088750,NA,61,"S",118631,1.18,0.52,26,32,35,"K2724220","Station hauteur seule depuis le 01/01/2014 (impossibilité de ternir une courbe de tarage correcte)
Mise hors service le 01/01/2015 00:00. ","06/08/05 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 12:04:00","","K272422001","K2724220",1,"Loire"
"498",469,"K2753010","MONTCEL","MORGE",655785,2114057.4,NA,117,"S",118631,0.975,0.066,8.46,13.9,17.5,"K2753010","K275301001 station aval pont en service jusqu'au 24/11/2017 14:00
K275301002 station amont pont mise en service le 24/11/2017 14:00
débits caractéristiques modifiés le 07/04/25","06/19/98 00:00:00",0,NA,NA,"",NA,NA,"04/07/25 11:43:00","","K275301002","K2753010",1,"Loire"
"499",470,"K2756110","ST HILAIRE - MOULIN JOSSE [HS]","SEP",653825.1,2114500,NA,27,"S",118631,0.165,0.006,2,3.41,4.34,"K2756110","Mise hors service en 2025
débits caractéristiques modifiés le 07/04/25","06/08/05 00:00:00",0,NA,NA,"",NA,NA,"04/07/25 12:05:00","","K275611001","K2756110",1,"Loire"
"500",471,"K2774010","BEAUNIT [HS]","AMBENE",649500,2100200,NA,7.5999999,"S",118631,0.082,0.01,0.76,1.1,1.3,"K2774010","COMMUNE DE CHARBONNIERE LES VARENNE
06/11/2018 00:00 Arrêtée suite à audit station Schapi (section devenue instable suite à l’aménagement d'abreuvoir à bovins)","12/11/01 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 10:28:00","","K277401001","K2774010",NA,"Loire"
"501",472,"K2778010","ST GENES L ENFANT","Le Saint Genes",656700,2097800,NA,0,"S",118631,0.124,0.029,0.317,0.51,0.637,"K2778010","débits caractéristiques modifiés le 07/04/25","06/08/05 00:00:00",0,NA,NA,"",NA,NA,"04/07/25 12:04:00","","K277801002","K2778010",1,"Loire"
"502",473,"K2783010","MARINGUES - COTE ROUGE ","MORGE",675860,2101530,NA,713,"S",118631,4,1.1,28,38,45,"K2783010","","",0,NA,NA,"",NA,NA,"02/28/25 11:10:00","","K278301001","K2783010",1,"Loire"
"503",474,"K2784510","MARINGUES [HS]","ANDOUX",676700,2102900,NA,60,"S",118631,NA,NA,NA,NA,NA,"K2784510","Mise hors service le 01/09/1986 00:00","06/08/05 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 10:36:00","","K278451001","K2784510",NA,"Loire"
"504",475,"K3053100","FERRIERES SUR SICHON","SICHON",701350,2114560.1,NA,27,"S",118631,0.566,0.067,7.7,11,13,"K3053100","","01/28/08 14:48:00",0,NA,NA,"",NA,NA,"07/04/18 11:01:00","","K305310001","K3053100",1,"Loire"
"505",476,"K3074010","CUSSET","JOLAN",686295.3,2126934.8,NA,56,"S",118631,0.621,0.009,9.5,15,18,"K3074010","","01/28/08 15:18:00",0,NA,NA,"",NA,NA,"08/18/17 09:11:00","","K307401001","K3074010",1,"Loire"
"506",477,"K3153010","LORIGES  D1","ANDELOT",677320,2141600,NA,210,"S",118631,0.918,0.16,8.67,13.1,16.1,"K3153010","débits caractéristiques modifiés le 07/04/25","01/28/08 16:34:00",0,NA,NA,"",NA,NA,"04/07/25 13:28:00","","K315301001","K3153010",1,"Loire"
"507",478,"K3264010","PONTAUMUR","SAUNADE",626240,2096860,NA,112,"S",118631,1.17,0.085,9.99,13.7,16.2,"K3264010","K326401001: Station ""canal"" sous le pont, en service jusqu'au 20/09/2017 00:00
K326401002: Station en aval du pont rive gauche, sur le mur de soutènement, mise en service le 20/09/2017 00:00
débits caractéristiques modifiés le 07/04/25","01/28/08 17:08:00",0,NA,NA,"",NA,NA,"04/07/25 13:38:00","","K326401002","K3264010",1,"Loire"
"508",479,"K3533010","VIEUX CHEVAL [HS]","BURGE",661250.1,2181520,NA,71.800003,"S",118631,0.412,0.023,13,19,23,"K3533010","Mise hors service le 14/11/2018 00:01 ","01/29/08 15:56:00",0,NA,NA,"",NA,NA,"02/27/25 17:44:00","","K353301001","K3533010",NA,"Loire"
"509",480,"K3603010","POUZY MESANGY RD1 ANCIENNE [HS]","BIEUDRE",651170,2189910,NA,143,"S",118631,0.86,0.038,25,37,45,"K3603010","","01/29/08 15:41:00",0,NA,NA,"",NA,NA,"02/28/25 09:22:00","","K360301001","K3603010",1,"Loire"
"510",481,"K3206010","CEYSSAT","Le ruisseau de Ceyssat",643359.9,2084716.3,NA,10.3,"S",118631,0.243,0.149,0.385,0.516,0.602,"K3206010","Code station HYDRO3 (PhyC)
K3206010 01 Moulin = fermée : 01/03/1971 -> 30/05/2012 
K3206010 02 Amont pont = 30/05/2012  ->   
débits caractéristiques modifiés le 07/04/25","01/28/08 16:59:00",0,NA,NA,"",NA,NA,"04/07/25 13:30:00","","K320601002","K3206010",1,"Loire"
"511",482,"K3374710","FOURILLES [HS]","BOUBLON LAGEES",666500,2138550,NA,71.400002,"S",118631,0.271,0.012,5.65,10,12.9,"K3374710","07/02/2025 14:00 Fermeture station suite à l'audit SCHAPI.
débits caractéristiques modifiés le 07/04/25","01/28/08 16:40:00",0,NA,NA,"",NA,NA,"04/07/25 13:45:00","","K337471001","K3374710",1,"Loire"
"512",484,"P1834010","YTRAC - PONT LE VERT","AUTHRE",599170,1990870,993.93,143,"S",118631,3.05,0.23,36,49,57,"P1834010","","08/29/05 00:00:00",0,NA,NA,"",NA,54400,"02/28/25 11:03:00","","P183401001","P1834010",1,"Loire"
"513",485,"P0555010","RIOM ES MONTAGNE","VERONNE",625747,2031869,996.06,44,"S",118631,1.27,0.071,17,23,28,"P0555010","","01/29/16 11:42:00",0,NA,NA,"",NA,83700,"03/28/19 14:52:00","","P055501001","P0555010",1,"Loire"
"514",486,"K2698210","LA ROCHE BLANCHE","AUZON",660.965,2077.63,989.09,85,"S",118631,0.241,0.11,1.8,3,3.8,"K2698210","","07/05/04 00:00:00",0,NA,NA,"LA ROCHE BLANCHE",NA,41500,"02/28/25 11:55:00","","K269821001","K2698210",1,"Loire"
"515",487,"K2623020","MADRIAT2","COUZE D ARDES DERIV",NA,NA,NA,NA,"S",118631,0.184,0.026,1.25,1.58,1.8,"K2623820","","06/08/05 00:00:00",0,NA,NA,"",NA,NA,"04/08/25 10:40:00","","K262302001","K2623020",1,"Loire"
"516",488,"K3464010","NEUVY MOULINS","QUEUNE",NA,NA,NA,109,"S",118631,0.603,0.027,10.2,15.5,19,"K3464010","Mise à jour des débits caractéristiques le 02/05/2025","01/29/08 15:25:00",0,NA,NA,"",NA,NA,"05/02/25 15:24:00","","K346401001","K3464010",1,"Loire"
"517",489,"K3060310","ML VIDOT","SICHON",NA,NA,NA,159,"S",118631,2.29,0.17,27,40,48,"K3060310","","01/28/08 15:13:00",0,NA,NA,"",NA,NA,"07/07/17 12:05:00","","K306031001","K3060310",1,"Loire"
"518",490,"K2994010","PUY GUILLAUME","CREDOGNE",NA,NA,NA,74.5,"S",118631,1.12,0.09,11,17,21,"K2994010","","01/28/08 12:55:00",0,NA,NA,"PUY GUILLAUME",NA,NA,"02/28/25 11:58:00","","K299401001","K2994010",1,"Loire"
"519",491,"K2424010","COHADE RN102 [HS]","VENDAGE",680690,2039680,997.5,51.5,"S",118631,NA,NA,NA,NA,NA,"K2424010","INSTALLE 12/97

OTT 132599  07-2000
","09/28/04 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 09:49:00","","K242401001","K2424010",NA,"Loire"
"520",492,"P0885020","LE FALGOUX CAMPING","MARS",622410,2017150,NA,20.5,"S",118631,1.08,0.089,14,20,24,"P0885020","","06/08/05 00:00:00",0,NA,NA,"",NA,89500,"07/20/16 10:56:00","","P088502001","P0885020",1,"Loire"
"521",493,"K2373110","ST VERT","DOULON",693580,2041930,NA,38.799999,"S",118631,0.405,0.051,4.28,6.59,8.11,"K2373110","INSTALLE 10/97
MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","07/05/04 00:00:00",0,NA,NA,"",NA,76000,"04/08/25 11:20:00","","K237311001","K2373110",1,"Loire"
"522",494,"K2335510","ST JUST PRES BRIOUDE -LE MAS","LE CEROUX",679440,2027570,NA,82,"S",118631,0.521,0.006,6.1,11,14.2,"K2335510","12/97
132614 ott HYDROSENS
MISE A JOUR DEBITS CARACTERISTIQUE LE 08/04/2025","07/05/04 00:00:00",0,NA,NA,"",NA,53900,"04/08/25 11:16:00","","K233551001","K2335510",1,"Loire"
"523",495,"K2763110","CEBAZAT","BEDAT",660175,2091975,NA,41,"S",118631,0.356,0.12,5.2,7.2,8.5,"K2763110","","06/02/05 00:00:00",0,NA,NA,"",NA,NA,"12/09/20 09:39:00","01/01/00 00:00:00","K276311001","K2763110",1,"Loire"
"524",497,"K2773120","ST LAURE","BEDAT",NA,NA,NA,NA,"S",118631,1.85,0.68,25,32,36,"K2773120","INSTALLATION  LE  08 MARS  2000","03/13/00 00:00:00",0,NA,NA,"",NA,NA,"02/28/25 10:27:00","","K277312001","K2773120",1,"Loire"
"525",498,"K2774020","ENNEZAT [HS]","AMBENE",NA,NA,NA,NA,"S",118631,0.72,0.18,7.6,12,14,"K2774020","INSTALLATION LE 07/03/2000    
FRANCETELECOM   LE 21/03/2000
1er JAUGEAGE LE 21/03/2000
Mise hors service en 2025","03/22/00 00:00:00",10,NA,NA,"",NA,NA,"02/28/25 10:30:00","","K277402001","K2774020",1,"Loire"
"526",499,"K3553010","AUBIGNY [HS]","BURGE",662050,2187510,NA,225,"S",118631,0.995,0.054,20,30,37,"K3553010","Station mise hors service le 01/03/2023 00:00","01/29/08 15:49:00",0,NA,NA,"",NA,NA,"02/27/25 17:42:00","","K355301001","K3553010",1,"Loire"
"527",500,"K2223020","CHAMBONNET [HS]","ANCE du SUD",NA,NA,NA,80,"S",118631,1.19,0.16,9,12,15,"K2223020","","07/05/04 00:00:00",0,NA,NA,"",NA,NA,"03/14/25 12:39:00","","K222302001","K2223020",NA,"Loire"
"528",501,"K2226010","PANIS [HS]","RU du PANIS",NA,NA,NA,70,"S",118631,0.7,0.066,7.5,11,13,"K2226010","","07/05/04 00:00:00",10,NA,NA,"",NA,85700,"03/14/25 12:39:00","","K222601001","K2226010",NA,"Loire"
"529",503,"P1034010","BRAGEAC-MAISON FORESTIÉRE [HS]","AUZE",591384,202355,NA,155,"S",118631,1.31,0.14,45,75,94,"P1034010","BRAGEAC-MAISON FORESTIÉRE MIERS = P103 4010 - L'Auze à Brageac [Le Pestre]
Mise hors service le 03/07/2017 00:00","06/08/05 00:00:00",0,NA,NA,"",NA,49000,"02/28/25 10:57:00","","P103401001","P1034010",1,"Loire"
"530",504,"P0814020","ANTIGNAC","SUMENE",616675,2037825,NA,71.5,"S",118631,1.89,0.21,22,34,42,"P0814020","","06/08/05 00:00:00",0,NA,NA,"",NA,50000,"08/24/18 15:18:00","","P081402001","P0814020",1,"Loire"
"531",505,"P1780510","ST MAMET - CD 48","ROANNES",602000,1984725,NA,45.5,"S",118631,1.36,0.11,18,27,33,"P1780510","","08/29/05 00:00:00",0,NA,NA,"",NA,56500,"02/28/25 11:04:00","","P178051001","P1780510",1,"Loire"
"532",506,"P1780810","ST MAMET - STATION POMPAGE AEP [HS]","FAUGRAND",601925,1984475,NA,4.5,"S",118631,0.084,NA,NA,NA,NA,"P1780810","","06/08/05 00:00:00",0,NA,NA,"",NA,58000,"02/28/25 11:05:00","","P178081001","P1780810",NA,"Loire"
"533",507,"P0524010","MARCHASTEL","PETITE RHUE",NA,NA,NA,75.5,"S",118631,2.17,0.087,39,58,70,"P0524010","","06/08/05 00:00:00",0,NA,NA,"",NA,81400,"11/26/18 15:45:00","","P052401001","P0524010",1,"Loire"
"534",509,"P1454010","ST ILLIDE","BERTRANDE",NA,NA,NA,NA,"S",118631,3.5,0.2,41,58,69,"P1454010","P1454010 01 Ancienne échelle = fermée : 01/01/1932 -> 01/01/1970 station gérée par DRIREN Midi-Pyrénées
P1454010 02 Nouvelle échelle = station remise en service par DRIEN Auvergne10/10/2002 ->   ","06/08/05 00:00:00",0,NA,NA,"",NA,45800,"02/28/25 11:00:00","","P145401002","P1454010",1,"Loire"
"535",512,"K2821910","DORE L EGLISE","DORE",NA,NA,NA,105,"S",118631,1.07,0.095,12,18,22,"K2821910","","",0,NA,NA,"DORE L'EGLISE",NA,NA,"02/28/25 11:56:00","08/22/06 10:29:00","K282191001","K2821910",1,"Loire"
"536",513,"K2834010","ST BONNET LE CHASTEL [MOULIN NEUF]","DOLORE",NA,NA,NA,70,"S",118631,1.13,0.15,13,19,24,"DOLORE","","01/25/08 17:06:00",0,NA,NA,"ST BONNET LE CHASTEL",NA,NA,"02/28/25 11:56:00","08/22/06 10:30:00","K283401001","K2834010",1,"Loire"
"537",514,"K2851910","AMBERT","DORE",NA,NA,NA,NA,"S",118631,4.87,0.41,44,61,73,"AMBERT","","",0,NA,NA,"AMBERT",NA,NA,"02/28/25 12:02:00","08/22/06 10:30:00","K285191001","K2851910",1,"Loire"
"538",515,"K2981910","DORAT","DORE",NA,NA,NA,1523,"S",118631,18.8,2.5,160,220,260,"K2981910","","11/17/97 00:00:00",0,NA,NA,"",NA,NA,"08/22/17 16:29:00","","K298191001","K2981910",1,"Loire"
"539",516,"K2944010","COURPIERE [LE SALET]","COUZON",NA,NA,NA,74.5,"S",118631,1.27,0.22,17,27,33,"K2944010","","03/11/16 10:57:00",0,NA,NA,"COURPIERE",NA,NA,"02/28/25 11:57:00","","K294401001","K2944010",1,"Loire"
"540",517,"K2884010","OLLIERGUES [GIROUX-FAYE]","FAYE",NA,NA,NA,72,"S",118631,1.6,0.32,15,21,25,"K2884010","","01/28/08 11:49:00",0,NA,NA,"OLLIERGUES",NA,NA,"02/28/25 11:57:00","","K288401001","K2884010",1,"Loire"
