nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,synchronisation,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3
155,"R4122521","SALLES D ANGLES - PERCEPTIERS GAUCHE","Le Ne",438236,6505365,998067,602,"S","007007",1.16,0.014,9.140000000000001,15.8,20.2,"R4122521","Station QMJ

Station mesurant les hauteurs d'eau sur le bief

- répartiteur entre bras principal et bief en amont de l'échelle --> pas d'influence sur la hauteur
contact pour renseignements sur les manipulations de l'ouvrage: Laurent Paulhac - technicien rivière du bassin du Né (laurent.paulhac@siah-ne.fr)

- Le site n'est plus jaugeable pour H> 140 cm ? en raison des débordements. Le débit est alors mesuré en amont du cours d'eau à St Fort sur le Né (1 bras). La courbe de tarage pour H > 140 cm est construite selon une répartition de ce débit  mesuré à St Fort, débit rattaché proportionnellement aux hauteurs relevées sous Sircade, pour les 2 bras du Né aux Perceptiers.
","04/03/00 00:00:00","00",,,,"SALLES-D'ANGLES","16359",1306,"11/10/25 10:53:00",,"R413001101","R4130011"
156,"R4122522","SALLES D ANGLES - PERCEPTIERS STATION","Le Ne",438229,6505402,999765,602,"S","007007",2.8,0.001,26.3,43.9,55.6,"R4122522","Station QMJ

Station mesurant les hauteurs d'eau sur le bras principal

- répartiteur entre bras principal et bief en amont de l'échelle --> pas d'influence sur la hauteur
contact pour renseignements sur les manipulations de l'ouvrage: Laurent Paulhac - technicien rivière du bassin du Né (laurent.paulhac@siah-ne.fr)

- Le site n'est plus jaugeable pour H> 160 cm ? en raison des débordements. Le débit est alors mesuré en amont du cours d'eau à St Fort sur le Né (1 bras). La courbe de tarage pour H > 160 cm est construite selon une répartition de ce débit  mesuré à St Fort, débit rattaché proportionnellement aux hauteurs relevées sous Sircade, pour les 2 bras du Né aux Perceptiers.

","04/03/00 00:00:00","00",,,,"SALLES-D'ANGLES","16359",1234,"11/10/25 11:12:00",,"R413001201","R4130012"
157,"R4230003","SAINTES (PONT BERNARD PALISSY)","LA CHARENTE",417893,6522872,929832,7391.5601,"S","007007",,,,,,"R4230003",,"02/29/00 00:00:00","00",,,,"SAINTES ","17415",12,"08/22/25 10:33:00",,"R520001001","R5200010"
158,"R4230010","CHERAC (CHEZ LANDART)","CHARENTE",425488,6517977,916.068,6334,"S","007007",,,,,,"R4230010",,,"00",,,,"CHANIERS","17086",15,"08/25/25 15:12:00","01/11/16 16:12:00","R423001002","R4230010"
159,"R5020250","JONZAC","LA SEUGNE",,,,,"S","007007",,,,,,"5502","STATION +25M PAR RAPPORT A L ECHELLE",,,,,,,,,"05/14/18 15:56:00","01/18/08 15:40:00","R502331001","R5023310"
160,"R5080005","REAUX","Trèfle",6492.265,436.658,,,"S","007007",,,,,,"REAUX",,,"00",,,,,,,"06/23/25 12:19:00","05/05/21 17:37:00","R508000501","R5080005"
161,"R5123310","PONS","LA SEUGNE",,,,882,"S","007007",,,63.1,109,139,"R5123310",,"03/02/00 00:00:00",,,,,,,,"02/04/25 09:35:00",,"R512331002","R5123310"
163,"R5250010","SAINT SAVINIEN","LA CHARENTE",414529,6537759,315,7706,"S","007007",,,,,,"R5250010",,"04/11/01 00:00:00",,,,,"SAINT SAVINIEN","17397",32,"10/03/25 16:07:00",,"R523001002","R5230010"
164,"R6092910","LE VERT","LA BOUTONNE",,,,523,"S","007007",,,30.5,43.6,52.3,"R6092910"," Altitude : 35.03m","11/08/02 00:00:00",,,,,,,,"02/04/25 09:52:00",,"R608001002","R6080010"
165,"R6100010","NUAILLE SUR BOUTONNE","LA BOUTONNE",,,,,"S","007007",,,38.9,59.9,73.8,"NUAILLE","JAUGEAGE EN AMONT .500M PAR RAPPORT A LA STATION SPC BRAS PRINCIPAL / BRAS SECONDAIRE","04/30/07 00:00:00","10",,,,,,,"02/04/25 10:04:00",,"R610001001","R6100010"
166,"R6142910","TORXE","LA BOUTONNE",,,,1030,"S","007007",,,,,,"R6142910"," Altitude : 3.00m","11/12/02 00:00:00",,,,,,,,"05/14/18 16:05:00",,"R614291002","R6142910"
167,"R6142925","SAINT JEAN D'ANGELY (PONT SAINT JACQUES)","Boutonne",,,,,"S","007007",,,,,,"ST JACQUES",,,"10",,,,"ST JEAN D'ANGELY",,,"10/03/25 16:39:00","07/28/11 11:13:00","R614292501","R6142925"
168,"R6142926","SAINT JEAN D'ANGELY (PUYCHERAND)","La Boutonne Puychérand",,,,,"S","007007",,,,,,"PUYCHERAND","Située à St Jean D'angély centre ville",,"10",,,,"PUYCHERAND",,,"10/03/25 16:39:00","09/03/08 09:09:00","R614292601","R6142926"
169,"R6142927","SAINT JEAN D'ANGELY (CANAL ST EUTROPE)","La boutonne St Eutrope",,,,,"S","007007",,,,,,"ST EUTROPE","échelle située au pont à MOULINVEAU",,"00",,,,"ST EUTROPE",,,"10/03/25 16:39:00","09/03/08 09:10:00","R614292701","R6142927"
170,"R6180010","TONNAY-BOUTONNE","la boutonne",,,,,"S","007007",,,,,,"R6180010","JAUGEAGE - ADCP","03/19/07 00:00:00","00",,,,,,,"05/16/25 15:33:00",,"R618001001","R6180010"
172,"R3020004","ASNIERES SUR NOUERE (NEUILLAC)","Nouère",468.741,6517.793,988547,62.380001,"S","007007",,,,,,"ASNIÈRES",,"06/14/21 11:16:00","00",,,42,"ASNIERES SUR NOUERE","16019",5832,"10/03/25 12:11:00","06/14/21 11:16:00","R302000401","R3020004"
173,"L7120006","BEUXES AMONT","négron",486079,6669797,,70.980003,"S","007007",,,,,,"BEUXES AMO",,,"10",,,,"BEUXES","86026",4158,"08/25/25 15:06:00","09/10/21 10:23:00",,
174,"N4300623","NIORT TOTALE","sevre niortaise",429378,6587111,921.54,876.40997,"S","007007",,,,,,"NIORT_TOT",,,"10",,,,"NIORT","79191",,"10/03/25 13:15:00","10/25/21 14:39:00","N430062301","N4300623"
175,"L6210006","NEUILLY LE BRIGNON","Le Brignon",6653201.28,530760.144,,,"S","007007",,,,,,"L6210006",,,"00",,,,"NEUILLY-LE-BRIGNON","37168",6413,"08/22/25 11:40:00","11/08/21 09:31:00","L621000601","L6210006"
176,"L7010002","THENEUIL","Bourouse",505682,6668700,,,"S","007007",,,,,,,,,"10",,,,"THENEUIL","37256",4363,"08/29/25 10:28:00","01/07/22 16:21:00","L701000201","L7010002"
177,"R4122510","SAINT FORT SUR LE NE","Le Né",,,,529,"S","007007",,,,,,"R4122510","STATION MISE HORS SERVICE LE 31/12/1992                                                   STATION DEPLACEE AUX PERCEPTIERS   
 Altitude : 18.00m    ","11/08/02 00:00:00",,,,,,,,"10/03/25 12:09:00",,"R411001001","R4110010"
178,"L7210008","MARCAY MOULIN DES MEES","Le Négron",,,,,"S","007007",,,,,,"MARCÉ MÉ","section en aval au niveau du gué. Récupère le Négron, le Merdelon et le Comprigny
Test provisoire depuis 2021 - Travaux syndicat en aval de la station en juin 2023 (modification du plan d'eau)
Installation définitive station le 09/10/2023
Propriétaire à l'aval du gué M Justin Raimbault 0682267185 ou 0638505947 (code portail à demander pour aller à la pelle)","08/31/23 14:37:00","00",,,,"MARCAY",,,"07/18/24 15:49:00","05/23/22 13:13:00","L721000801","L7210008"
179,"N4000616","SAINTE-EANNE","Pamproux",6591091.12,460006.442,993.774,168,"S","007007",,,,,,"STE-EANNE","Installation station Septembre 2023
Problème d'entretien des seuils de controle (pelle aval endommagée) 
Convention passée entre SMC et propriétaire pour entretien et accès des ouvrages et muret en RG
Section de jaugeage à Avernant chez M Roy 0607042253 (passerelle métallique) ) 1km en amont si H>60cm à l'échelle
","01/03/25 15:46:00","10",,80,,"SAINTE-EANNE","79246",7030,"08/25/25 11:46:00","08/31/23 15:59:00","N400061601","N4000616"
180,"L5650002","BRIGUEIL LE CHANTRE","ASSE",6589921.53,552929.748,993774,,"S","007007",,,,,,"BRIGUEIL","Installation programmée en Octobre 2023",,"00",,,,"BRIGUEIL LE CHANTRE","86290",12909,"08/22/25 15:12:00","09/29/23 15:29:00","L565000201","L5650002"
181,"N4010620","SAINT MAIXENT L ECOLE","sèvre niortaise",450818,6592516,875.028,237.37,"S","007007",,,,,,"ST_MAIXENT",,"11/14/23 15:46:00","00",,,,"SAINT-MAIXENT-L'ÉCOLE","79270",5700,"10/03/25 12:10:00","11/14/23 15:41:00","N401061002","N4010610"
182,"R0020010","SURIS ANCIENNE","Charente",,,637.748,110.59,"S","007007",,,,,,"SURIS_ANCI",,,"00",,,,"SURIS","16376",,"10/03/25 12:16:00","12/14/23 08:58:00","R002001001","R0020010"
183,"L0TEST","PEYRAT TEST","Maulde",,,,,"S","007007",,,,,,,"Station expérimental à l'aval de la conduite forcée et à l'aval de la station actuelle de Peyrat le Chateau
Situé sur un pont communal avec une échelle bleue installée par EDf ?
",,"00",,,,,,,"03/15/24 15:59:00","03/15/24 15:54:00",,
184,"L6120003","MARTIZAY","Claise",6635378.08,554357.415,961087,530,"S","007007",,,,,,"MARTIZÉ","Installée le 24/05/2024

Section perche à tester au rétrécissement à environ 40M Aval
section qboat à 10M aval entre le saule en RD et la souche en RG.",,"00",,,,"MARTIZAY","36113",,"07/10/24 12:52:00","05/17/24 15:07:00","L612000301","L6120003"
185,"L5520001","SACIERGES-SAINT-MARTIN","Abloux",6601048.11,573900.593,904018,142,"S","007007",,,,,,,"Installation 11/09/2024 sur l'ouvrage de la RD54
","06/27/24 15:08:00",,,,,"SACIERGES SAINT MARTIN","36177",,"12/18/24 14:00:00","06/27/24 15:08:00","L552000101","L5520001"
186,"N4305212","SAINT MAXIRE","Sèvre Niortaise",6594389.94,433090.408,904018,703,"S","007007",,,,,,"ST_MAXIRE","Station installée le 17/09/2024 
Station de crue à la demande de la ville de Niort pour anticiper les crues en centre ville
Courbe de hautes eaux à construire pour le SPC",,,,105,,"SACIERGES SAINT MARTIN","36177",,"01/10/25 17:06:00","06/27/24 15:28:00","N430521201","N4305212"
187,"R4130016","CELLES","Né",437405,6506339,,630.40997,"S","007007",,,,,,"CELLES","station expérimentale pour tester une courbe de tarage à la place de Salles d'Angles
bas du passage à loutre en rive droite correspond à 85 cm à l'échelle
bas du passage à loutre en rive gauche correspond à 136 cm à l'échelle

installée le 13/06/2025",,"00",,,,"CELLES","17520",,"08/19/25 15:24:00","07/11/24 12:54:00","R413001601","R4130016"
188,"R4122520","SALLES D ANGLES - PERCEPTIERS TOTALE","Le Ne",,,,,"S","007007",,,,,,"SA - TOTAL",,,"00",,,,,,,"10/03/25 12:18:00","09/11/24 16:20:00","R413001301","R4130013"
189,"R6142929","SAINT JEAN D'ANGELY","LA BOUTONNE",6543564,426841,969,972,"S","007007",,,,,,"STJDYTOT",,,"00",,,,"ST JEAN D'ANGELY","17347",17,"10/03/25 12:05:00","01/10/25 11:46:00","R614292901","R6142929"
190,"R3214026","PRIGNAC","Antenne",439215,6530595,,217.49001,"S","007007",,,11.9,17.2,20.8,"R3214026","Hauteur muret entre Antenne et Briou estimé à 1,20 -1,30 m à l'échelle. Au-delà de cette hauteur, les deux rivières sont connectées. Le Briou peut se déverser dans l'Antenne avant d'avoir 1,20 m à l'échelle. Cette hauteur n'est pas déterminée, elle dépend uniquement de l'intensité de la crue sur le Briou. ",,,,,,"PRIGNAC","17290",1721,"11/10/25 10:30:00","07/28/17 08:55:00","R321402601","R3214026"
